player_link,player,team,start_date,end_date
https://en.khl.ru/players/24606/?idplayer=24606&PAGEN_1=1,Arseny Akhmetov,Sibir,17 Nov 2020,10 Mar 2022
https://en.khl.ru/players/24606/?idplayer=24606&PAGEN_1=1,Arseny Akhmetov,HC Sochi,8 Dec 2018,27 Feb 2020
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Lada,4 Jan 2016,23 Jan 2018
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Neftekhimik,10 Nov 2015,10 Dec 2015
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Amur,24 Dec 2014,20 Sep 2015
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,HC Sochi,8 Sep 2014,14 Dec 2014
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Lokomotiv,17 Jan 2014,21 Mar 2014
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Metallurg Nk,5 Sep 2013,15 Jan 2014
https://en.khl.ru/players/14914/?idplayer=14914&PAGEN_1=1,Rafael Akhmetov,Neftekhimik,29 Sep 2008,29 Sep 2008
https://en.khl.ru/players/29108/?idplayer=29108&PAGEN_1=1,Artur Akhtyamov,Ak Bars,3 Feb 2020,11 Jan 2022
https://en.khl.ru/players/4475/?idplayer=4475&PAGEN_1=1,Alexei Akifyev,Sibir,3 Oct 2009,3 Feb 2010
https://en.khl.ru/players/4475/?idplayer=4475&PAGEN_1=1,Alexei Akifyev,Spartak,2 Sep 2008,14 Mar 2009
https://en.khl.ru/players/4219/?idplayer=4219&PAGEN_1=1,Sergei Akimov,Amur,19 Sep 2009,25 Sep 2009
https://en.khl.ru/players/4219/?idplayer=4219&PAGEN_1=1,Sergei Akimov,Spartak,7 Sep 2008,1 Feb 2009
https://en.khl.ru/players/15260/?idplayer=15260&PAGEN_1=1,Dmitry Akishin,Metallurg Nk,24 Nov 2016,23 Dec 2016
https://en.khl.ru/players/15260/?idplayer=15260&PAGEN_1=1,Dmitry Akishin,OHC Dynamo M,2 Nov 2012,13 Jan 2015
https://en.khl.ru/players/19232/?idplayer=19232&PAGEN_1=1,Alexander Akmaldinov,HC Sochi,24 Oct 2017,1 Mar 2019
https://en.khl.ru/players/19232/?idplayer=19232&PAGEN_1=1,Alexander Akmaldinov,Ugra,22 Dec 2015,14 Oct 2017
https://en.khl.ru/players/33710/?idplayer=33710&PAGEN_1=1,Raul Akmaldinov,Lokomotiv,17 Nov 2022,6 Dec 2022
https://en.khl.ru/players/15620/?idplayer=15620&PAGEN_1=1,Pavel Akolzin,Metallurg Mg,3 Sep 2021,23 Mar 2023
https://en.khl.ru/players/15620/?idplayer=15620&PAGEN_1=1,Pavel Akolzin,Barys,24 Aug 2017,12 Mar 2021
https://en.khl.ru/players/15620/?idplayer=15620&PAGEN_1=1,Pavel Akolzin,Spartak,19 Jan 2009,21 Jan 2009
https://en.khl.ru/players/9435/?idplayer=9435&PAGEN_1=1,Alexander Aksyonenko,Metallurg Nk,5 Sep 2013,4 Mar 2014
https://en.khl.ru/players/9435/?idplayer=9435&PAGEN_1=1,Alexander Aksyonenko,Sibir,17 Sep 2012,21 Feb 2013
https://en.khl.ru/players/9435/?idplayer=9435&PAGEN_1=1,Alexander Aksyonenko,Avtomobilist,16 Sep 2011,21 Oct 2011
https://en.khl.ru/players/9435/?idplayer=9435&PAGEN_1=1,Alexander Aksyonenko,Amur,2 Sep 2008,18 Feb 2011
https://en.khl.ru/players/34493/?idplayer=34493&PAGEN_1=1,Danil Alalykin,Salavat Yulaev,1 Oct 2019,11 Mar 2023
https://en.khl.ru/players/26698/?idplayer=26698&PAGEN_1=1,Yegor Alanov,Sibir,5 Sep 2021,10 Mar 2023
https://en.khl.ru/players/26698/?idplayer=26698&PAGEN_1=1,Yegor Alanov,Dynamo Msk,12 Nov 2019,10 Mar 2021
https://en.khl.ru/players/18972/?idplayer=18972&PAGEN_1=1,Denis Alexandrov,Sibir,20 Sep 2022,10 Mar 2023
https://en.khl.ru/players/18972/?idplayer=18972&PAGEN_1=1,Denis Alexandrov,HC Sochi,3 Sep 2018,18 Oct 2019
https://en.khl.ru/players/18972/?idplayer=18972&PAGEN_1=1,Denis Alexandrov,SKA,20 Nov 2013,25 Dec 2013
https://en.khl.ru/players/3698/?idplayer=3698&PAGEN_1=1,Evgeny Alexandrov,Vityaz,2 Sep 2008,8 Oct 2008
https://en.khl.ru/players/24790/?idplayer=24790&PAGEN_1=1,Nikita D. Alexandrov,Amur,22 Oct 2018,30 Oct 2020
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Admiral,26 Aug 2015,26 Dec 2017
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Barys,6 Sep 2012,1 Mar 2013
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Sibir,14 Jan 2012,19 Feb 2012
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Amur,13 Sep 2011,18 Oct 2011
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Barys,25 Nov 2010,28 Feb 2011
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Traktor,9 Sep 2010,18 Oct 2010
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Torpedo,11 Sep 2009,5 Mar 2010
https://en.khl.ru/players/4508/?idplayer=4508&PAGEN_1=1,Viktor B. Alexandrov,Avangard,3 Sep 2008,16 Mar 2009
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,HC Sochi,15 Oct 2016,26 Feb 2023
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,Avangard,25 Aug 2015,20 Mar 2016
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,SKA,10 Sep 2012,17 Apr 2015
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,Avangard,5 Dec 2011,25 Apr 2012
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,SKA,3 Oct 2011,1 Dec 2011
https://en.khl.ru/players/14267/?idplayer=14267&PAGEN_1=1,Yury Alexandrov,Severstal,12 Nov 2008,7 Mar 2010
https://en.khl.ru/players/24511/?idplayer=24511&PAGEN_1=1,Alexander Alexeyev,Salavat Yulaev,15 Sep 2020,23 Mar 2021
https://en.khl.ru/players/14929/?idplayer=14929&PAGEN_1=1,Andrei A. Alexeyev,Severstal,2 Sep 2019,14 Mar 2022
https://en.khl.ru/players/14929/?idplayer=14929&PAGEN_1=1,Andrei A. Alexeyev,Admiral,5 Jan 2018,1 Mar 2018
https://en.khl.ru/players/14929/?idplayer=14929&PAGEN_1=1,Andrei A. Alexeyev,Ugra,19 Dec 2016,18 Feb 2017
https://en.khl.ru/players/14929/?idplayer=14929&PAGEN_1=1,Andrei A. Alexeyev,Avtomobilist,26 Aug 2015,4 Dec 2016
https://en.khl.ru/players/17850/?idplayer=17850&PAGEN_1=1,Andrei S. Alexeyev,Amur,2 Sep 2021,19 Sep 2022
https://en.khl.ru/players/17850/?idplayer=17850&PAGEN_1=1,Andrei S. Alexeyev,Dynamo Msk,4 Sep 2019,26 Mar 2021
https://en.khl.ru/players/17850/?idplayer=17850&PAGEN_1=1,Andrei S. Alexeyev,HC Dynamo M,23 Aug 2017,8 Dec 2018
https://en.khl.ru/players/17850/?idplayer=17850&PAGEN_1=1,Andrei S. Alexeyev,OHC Dynamo M,17 Sep 2014,22 Oct 2016
https://en.khl.ru/players/21886/?idplayer=21886&PAGEN_1=1,Denis V. Alexeyev,Lokomotiv,23 Aug 2017,29 Mar 2023
https://en.khl.ru/players/21886/?idplayer=21886&PAGEN_1=1,Denis V. Alexeyev,Admiral,12 Jan 2017,4 Mar 2017
https://en.khl.ru/players/23249/?idplayer=23249&PAGEN_1=1,Dmitry Alexeyev,Avangard,4 Feb 2023,26 Feb 2023
https://en.khl.ru/players/23249/?idplayer=23249&PAGEN_1=1,Dmitry Alexeyev,CSKA,14 Sep 2022,19 Dec 2022
https://en.khl.ru/players/23249/?idplayer=23249&PAGEN_1=1,Dmitry Alexeyev,Traktor,20 Sep 2017,28 Nov 2021
https://en.khl.ru/players/11541/?idplayer=11541&PAGEN_1=1,Kirill Alexeyev,Khimik,11 Nov 2008,23 Dec 2008
https://en.khl.ru/players/11541/?idplayer=11541&PAGEN_1=1,Kirill Alexeyev,Sibir,3 Sep 2008,3 Oct 2008
https://en.khl.ru/players/14556/?idplayer=14556&PAGEN_1=1,Konstantin Alexeyev,Sibir,19 Dec 2016,4 Mar 2022
https://en.khl.ru/players/14556/?idplayer=14556&PAGEN_1=1,Konstantin Alexeyev,CSKA,22 Aug 2016,5 Dec 2016
https://en.khl.ru/players/14556/?idplayer=14556&PAGEN_1=1,Konstantin Alexeyev,Sibir,7 Oct 2008,22 Feb 2016
https://en.khl.ru/players/14252/?idplayer=14252&PAGEN_1=1,Nikita Alexeyev,Severstal,2 Feb 2012,12 Mar 2013
https://en.khl.ru/players/14252/?idplayer=14252&PAGEN_1=1,Nikita Alexeyev,Ak Bars,5 Sep 2008,17 Mar 2011
https://en.khl.ru/players/14158/?idplayer=14158&PAGEN_1=1,Sergei Alexeyev,HC Dynamo M,23 Aug 2017,11 Sep 2018
https://en.khl.ru/players/18488/?idplayer=18488&PAGEN_1=1,Evgeny Alikin,Amur,1 Sep 2015,19 Feb 2023
https://en.khl.ru/players/23494/?idplayer=23494&PAGEN_1=1,Nerijus Alisauskas,Dinamo R,22 Aug 2017,8 Dec 2021
https://en.khl.ru/players/31043/?idplayer=31043&PAGEN_1=1,Malik Alishlalov,CSKA,20 Feb 2021,20 Feb 2021
https://en.khl.ru/players/14909/?idplayer=14909&PAGEN_1=1,Danila Alistratov,Vityaz,12 Sep 2011,26 Feb 2012
https://en.khl.ru/players/14909/?idplayer=14909&PAGEN_1=1,Danila Alistratov,Traktor,3 Sep 2008,28 Jan 2011
https://en.khl.ru/players/34802/?idplayer=34802&PAGEN_1=1,Vladimir Alistrov,Dinamo Mn,15 Sep 2020,11 Mar 2023
https://en.khl.ru/players/24658/?idplayer=24658&PAGEN_1=1,Akim Aliu,Amur,17 Nov 2015,29 Jan 2016
https://en.khl.ru/players/26678/?idplayer=26678&PAGEN_1=1,Ruslan Aliyev,HC Sochi,20 Oct 2021,25 Nov 2022
https://en.khl.ru/players/39290/?idplayer=39290&PAGEN_1=1,Sergei Alkhimov,Avangard,21 Sep 2022,26 Feb 2023
https://en.khl.ru/players/35603/?idplayer=35603&PAGEN_1=1,Vsevolod Almetkin,Ak Bars,9 Feb 2023,9 Feb 2023
https://en.khl.ru/players/17573/?idplayer=17573&PAGEN_1=1,Adam Almquist,Traktor,19 Sep 2022,8 Dec 2022
https://en.khl.ru/players/17573/?idplayer=17573&PAGEN_1=1,Adam Almquist,Dinamo Mn,5 Sep 2020,8 Mar 2022
https://en.khl.ru/players/17573/?idplayer=17573&PAGEN_1=1,Adam Almquist,Admiral,3 Sep 2019,19 Feb 2020
https://en.khl.ru/players/17573/?idplayer=17573&PAGEN_1=1,Adam Almquist,Severstal,4 Sep 2014,23 Oct 2014
https://en.khl.ru/players/15778/?idplayer=15778&PAGEN_1=1,Stanislav Alshevsky,Kunlun RS,29 Oct 2016,29 Dec 2016
https://en.khl.ru/players/15778/?idplayer=15778&PAGEN_1=1,Stanislav Alshevsky,Neftekhimik,5 Oct 2016,7 Oct 2016
https://en.khl.ru/players/15778/?idplayer=15778&PAGEN_1=1,Stanislav Alshevsky,Admiral,28 Aug 2015,31 Jan 2016
https://en.khl.ru/players/15778/?idplayer=15778&PAGEN_1=1,Stanislav Alshevsky,Neftekhimik,6 Sep 2012,24 Feb 2015
https://en.khl.ru/players/15779/?idplayer=15779&PAGEN_1=1,Yaroslav Alshevsky,Kunlun RS,27 Oct 2016,2 Mar 2017
https://en.khl.ru/players/15779/?idplayer=15779&PAGEN_1=1,Yaroslav Alshevsky,Neftekhimik,28 Aug 2016,7 Oct 2016
https://en.khl.ru/players/15779/?idplayer=15779&PAGEN_1=1,Yaroslav Alshevsky,Admiral,28 Aug 2015,1 Mar 2016
https://en.khl.ru/players/15779/?idplayer=15779&PAGEN_1=1,Yaroslav Alshevsky,Neftekhimik,7 Mar 2010,24 Feb 2015
https://en.khl.ru/players/40271/?idplayer=40271&PAGEN_1=1,Olle Alsing,Barys,3 Sep 2021,9 Mar 2022
https://en.khl.ru/players/3737/?idplayer=3737&PAGEN_1=1,Dmitry Altaryоv,Ugra,7 Dec 2011,17 Feb 2013
https://en.khl.ru/players/3737/?idplayer=3737&PAGEN_1=1,Dmitry Altaryоv,Metallurg Mg,12 Sep 2011,29 Nov 2011
https://en.khl.ru/players/3737/?idplayer=3737&PAGEN_1=1,Dmitry Altaryоv,Ugra,11 Sep 2010,4 Mar 2011
https://en.khl.ru/players/22290/?idplayer=22290&PAGEN_1=1,Andrei Altybarmakyan,SKA,24 Dec 2022,7 Mar 2023
https://en.khl.ru/players/22290/?idplayer=22290&PAGEN_1=1,Andrei Altybarmakyan,HC Sochi,19 Oct 2018,21 Dec 2022
https://en.khl.ru/players/22290/?idplayer=22290&PAGEN_1=1,Andrei Altybarmakyan,SKA,2 Sep 2017,27 Feb 2018
https://en.khl.ru/players/16462/?idplayer=16462&PAGEN_1=1,Maxim Alyapkin,Torpedo,30 Oct 2014,26 Dec 2015
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Amur,2 Sep 2021,25 Feb 2023
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Torpedo,24 Dec 2018,27 Feb 2021
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Dinamo R,20 Oct 2018,18 Dec 2018
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Spartak,5 Sep 2018,17 Sep 2018
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Lada,23 Dec 2017,1 Mar 2018
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Spartak,12 Sep 2017,5 Dec 2017
https://en.khl.ru/players/17704/?idplayer=17704&PAGEN_1=1,Artyom Alyayev,Torpedo,4 Sep 2014,2 Sep 2017
https://en.khl.ru/players/17810/?idplayer=17810&PAGEN_1=1,Yegor Alyoshin,Atlant,25 Dec 2014,5 Jan 2015
https://en.khl.ru/players/19200/?idplayer=19200&PAGEN_1=1,Dmitry Ambrozheichik,Dinamo Mn,18 Sep 2015,1 Mar 2018
https://en.khl.ru/players/16297/?idplayer=16297&PAGEN_1=1,Artur Amirov,Metallurg Nk,26 Aug 2015,21 Jan 2016
https://en.khl.ru/players/16297/?idplayer=16297&PAGEN_1=1,Artur Amirov,Neftekhimik,2 Nov 2014,24 Feb 2015
https://en.khl.ru/players/16297/?idplayer=16297&PAGEN_1=1,Artur Amirov,Lokomotiv,17 Nov 2010,25 Nov 2013
https://en.khl.ru/players/30159/?idplayer=30159&PAGEN_1=1,Rodion Amirov,Salavat Yulaev,3 Sep 2019,3 Jan 2022
https://en.khl.ru/players/19127/?idplayer=19127&PAGEN_1=1,Niclas Andersen,Jokerit,17 Nov 2017,24 Mar 2018
https://en.khl.ru/players/19127/?idplayer=19127&PAGEN_1=1,Niclas Andersen,Avtomobilist,23 Aug 2016,18 Feb 2017
https://en.khl.ru/players/19127/?idplayer=19127&PAGEN_1=1,Niclas Andersen,Severstal,6 Sep 2012,4 Mar 2014
https://en.khl.ru/players/20736/?idplayer=20736&PAGEN_1=1,Matt Anderson,Neftekhimik,3 Dec 2014,24 Feb 2015
https://en.khl.ru/players/20736/?idplayer=20736&PAGEN_1=1,Matt Anderson,Medvescak,4 Sep 2014,27 Nov 2014
https://en.khl.ru/players/20736/?idplayer=20736&PAGEN_1=1,Matt Anderson,Spartak,5 Sep 2013,4 Mar 2014
https://en.khl.ru/players/16813/?idplayer=16813&PAGEN_1=1,Janis Andersons,Dinamo R,8 Dec 2010,28 Jan 2012
https://en.khl.ru/players/16165/?idplayer=16165&PAGEN_1=1,Jonas Andersson,Ugra,6 Sep 2013,1 Nov 2013
https://en.khl.ru/players/16165/?idplayer=16165&PAGEN_1=1,Jonas Andersson,Torpedo,16 Jan 2013,17 Feb 2013
https://en.khl.ru/players/16165/?idplayer=16165&PAGEN_1=1,Jonas Andersson,Atlant,12 Sep 2011,10 Jan 2013
https://en.khl.ru/players/16165/?idplayer=16165&PAGEN_1=1,Jonas Andersson,Ak Bars,26 Jan 2011,17 Mar 2011
https://en.khl.ru/players/16165/?idplayer=16165&PAGEN_1=1,Jonas Andersson,Dinamo Mn,12 Sep 2009,7 Mar 2010
https://en.khl.ru/players/17986/?idplayer=17986&PAGEN_1=1,Ruslan Andreichikov,Dinamo Mn,14 Nov 2012,14 Nov 2012
https://en.khl.ru/players/35210/?idplayer=35210&PAGEN_1=1,Sven Andrighettо,Avangard,1 Sep 2019,11 Mar 2020
https://en.khl.ru/players/14763/?idplayer=14763&PAGEN_1=1,Sergei Andronov,Lokomotiv,2 Sep 2022,29 Mar 2023
https://en.khl.ru/players/14763/?idplayer=14763&PAGEN_1=1,Sergei Andronov,CSKA,27 Dec 2009,30 Apr 2022
https://en.khl.ru/players/14763/?idplayer=14763&PAGEN_1=1,Sergei Andronov,Lada,3 Sep 2008,23 Dec 2009
https://en.khl.ru/players/15273/?idplayer=15273&PAGEN_1=1,Viktor Andrushchenko,Dinamo Mn,2 Sep 2008,28 Oct 2009
https://en.khl.ru/players/15669/?idplayer=15669&PAGEN_1=1,Ilya Andryukhov,Amur,8 Nov 2016,10 Mar 2018
https://en.khl.ru/players/15669/?idplayer=15669&PAGEN_1=1,Ilya Andryukhov,Atlant,23 Feb 2009,8 Apr 2011
https://en.khl.ru/players/17249/?idplayer=17249&PAGEN_1=1,Vyacheslav Andryushchenko,Neftekhimik,22 Nov 2014,24 Dec 2014
https://en.khl.ru/players/39646/?idplayer=39646&PAGEN_1=1,Arturs Andzans,Dinamo R,5 Jan 2022,5 Jan 2022
https://en.khl.ru/players/16824/?idplayer=16824&PAGEN_1=1,Nick Angell,Avangard,2 Feb 2011,21 Mar 2011
https://en.khl.ru/players/16824/?idplayer=16824&PAGEN_1=1,Nick Angell,Metallurg Nk,11 Sep 2010,31 Jan 2011
https://en.khl.ru/players/13714/?idplayer=13714&PAGEN_1=1,Vitaly Anikeyenko,Lokomotiv,2 Sep 2008,1 Mar 2011
https://en.khl.ru/players/6237/?idplayer=6237&PAGEN_1=1,Alexei Anisimov,Lada,18 Nov 2009,7 Mar 2010
https://en.khl.ru/players/6237/?idplayer=6237&PAGEN_1=1,Alexei Anisimov,Amur,20 Oct 2008,29 Dec 2008
https://en.khl.ru/players/14272/?idplayer=14272&PAGEN_1=1,Artyom A. Anisimov,Lokomotiv,21 Sep 2012,7 Mar 2022
https://en.khl.ru/players/14551/?idplayer=14551&PAGEN_1=1,Mikhail Anisin,HC Dynamo M,30 Nov 2017,5 Jan 2018
